Year,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%)
2006,0.250706,0.936957,0.487719,4.764624,1.64434,4.08457,1.603575
2007,0.250892,0.937297,0.489763,4.768134,1.623885,4.066973,1.616499
2008,0.251077,0.937631,0.491397,4.771868,1.602967,4.052144,1.62808
2009,0.251227,0.937842,0.492582,4.774447,1.585441,4.041017,1.637943
2010,0.251325,0.937905,0.493399,4.774795,1.578817,4.036267,1.645533
2011,0.251378,0.937842,0.493484,4.773548,1.578331,4.035462,1.651917
2012,0.251427,0.937945,0.494554,4.772981,1.577196,4.036277,1.657262
2013,0.251469,0.938094,0.495666,4.772674,1.574874,4.038315,1.662273
2014,0.251519,0.938353,0.496754,4.773071,1.571537,4.042568,1.666927
2015,0.251561,0.938674,0.497448,4.7739,1.568814,4.047331,1.670958
2016,0.251592,0.939038,0.498985,4.77515,1.566269,4.056699,1.674253
2017,0.2516,0.939463,0.499407,4.776627,1.563404,4.069289,1.676438
1990,0.257335,0.935518,0.495201,5.708253,1.040638,4.114104,1.340411
1991,0.257925,0.936338,0.49911,5.732525,1.041509,4.089531,1.346856
1992,0.258431,0.936996,0.503046,5.754188,1.043455,4.066709,1.352993
1993,0.258852,0.937605,0.506919,5.770978,1.046185,4.046522,1.35826
1994,0.259177,0.938213,0.510332,5.780949,1.05011,4.031301,1.362564
1995,0.259383,0.938676,0.513446,5.782262,1.054345,4.021209,1.365798
1996,0.25945,0.939119,0.516684,5.776634,1.062565,4.010924,1.369079
1997,0.259423,0.939564,0.520709,5.768426,1.076499,3.995811,1.373168
1998,0.25936,0.940005,0.524996,5.758959,1.092831,3.978273,1.377275
1999,0.259323,0.940443,0.52923,5.749906,1.108713,3.963396,1.380864
2000,0.259377,0.940846,0.533074,5.743289,1.120628,3.954296,1.383446
2001,0.25955,0.940996,0.536735,5.7329,1.131687,3.946538,1.381589
2002,0.259799,0.940795,0.540921,5.715739,1.145739,3.936399,1.375221
2003,0.260072,0.940515,0.544966,5.697086,1.160166,3.924326,1.36754
2004,0.260303,0.940395,0.548814,5.682114,1.172541,3.913169,1.361735
2005,0.26044,0.940611,0.552326,5.676314,1.180062,3.904091,1.361468
2006,0.26047,0.941163,0.555458,5.68174,1.182929,3.90263,1.370816
2007,0.260435,0.941749,0.559095,5.694132,1.182918,3.911034,1.38803
2008,0.260376,0.942345,0.562895,5.708416,1.181689,3.923038,1.407298
2009,0.260322,0.942882,0.565988,5.719652,1.179014,3.932827,1.422725
2010,0.260304,0.943295,0.568433,5.72299,1.176196,3.936471,1.428934
2011,0.260317,0.943594,0.570083,5.720597,1.173328,3.935022,1.427224
2012,0.260337,0.943659,0.57145,5.718654,1.168979,3.933954,1.423862
2013,0.260377,0.943633,0.572816,5.716689,1.163853,3.932569,1.418129
2014,0.26045,0.943512,0.574132,5.714403,1.158034,3.931436,1.409572
2015,0.260566,0.943262,0.57521,5.71185,1.151362,3.929767,1.39793
2016,0.260731,0.942492,0.575355,5.708916,1.14349,3.926697,1.384357
2017,0.26096,0.94247,0.575873,5.705456,1.134884,3.924404,1.363893
1990,0.170162,0.632045,0.120713,2.874557,0.438111,3.688272,0.95028
1991,0.16998,0.632023,0.119234,2.872962,0.442809,3.678312,0.943597
1992,0.169807,0.632006,0.117842,2.871496,0.4469,3.672422,0.937657
1993,0.169654,0.631988,0.11672,2.870202,0.450138,3.66846,0.932877
1994,0.169527,0.631967,0.115894,2.869117,0.453232,3.666975,0.929705
1995,0.169435,0.631943,0.115539,2.868289,0.455222,3.66699,0.928563
1996,0.169335,0.631934,0.115262,2.867306,0.456492,3.67709,0.92903
1997,0.169201,0.631949,0.115028,2.865951,0.457604,3.700782,0.930132
1998,0.169074,0.631983,0.114925,2.864564,0.458732,3.729319,0.931488
1999,0.168986,0.632024,0.114875,2.863475,0.459864,3.754058,0.932706
2000,0.168978,0.632071,0.114892,2.863058,0.460731,3.765528,0.933394
2001,0.169139,0.632166,0.115556,2.863199,0.461976,3.766076,0.933354
2002,0.16948,0.632335,0.116748,2.86362,0.463909,3.762139,0.932867
2003,0.169919,0.63255,0.118203,2.864367,0.465105,3.756588,0.932283
2004,0.170369,0.632771,0.120043,2.865447,0.466658,3.752684,0.931926
2005,0.17075,0.632965,0.121765,2.866904,0.467428,3.753558,0.932122
2006,0.171139,0.633189,0.12366,2.870115,0.46847,3.76257,0.935531
2007,0.171627,0.633518,0.125577,2.875697,0.469623,3.779727,0.942865
2008,0.172148,0.633915,0.127832,2.882248,0.47093,3.798017,0.951593
2009,0.172626,0.634322,0.129921,2.888281,0.472327,3.814276,0.959189
2010,0.172978,0.634663,0.131519,2.892234,0.473447,3.823527,0.963109
2011,0.173259,0.634971,0.133096,2.894652,0.47482,3.823984,0.964354
2012,0.173572,0.635332,0.13477,2.897159,0.476464,3.818607,0.965512
2013,0.173905,0.635737,0.136469,2.899641,0.477964,3.80578,0.966526
2014,0.174254,0.636185,0.138116,2.902038,0.480415,3.78775,0.967383
2015,0.174616,0.636682,0.139784,2.904311,0.482921,3.76285,0.968057
2016,0.17498,0.637211,0.141193,2.90635,0.485547,3.733871,0.968472
2017,0.17534,0.637776,0.142431,2.908183,0.488562,3.699654,0.968598
1990,0.253503,0.585743,0.177865,3.774653,0.90085,3.541656,1.438494
1991,0.253542,0.58599,0.178034,3.77276,0.900952,3.545953,1.444019
1992,0.25358,0.586309,0.178218,3.771018,0.901787,3.54909,1.449593
1993,0.253643,0.586637,0.178419,3.76986,0.903045,3.550657,1.454155
1994,0.2537,0.58693,0.178688,3.769128,0.904346,3.550852,1.457587
1995,0.253706,0.587206,0.178983,3.7686,0.905352,3.548757,1.459594
1996,0.253686,0.58744,0.179485,3.774325,0.907855,3.545771,1.464267
1997,0.25368,0.587637,0.180134,3.78865,0.912141,3.542639,1.473627
1998,0.253694,0.587752,0.180911,3.805902,0.916817,3.539295,1.484032
1999,0.253714,0.587791,0.181829,3.820742,0.920007,3.536604,1.492134
2000,0.253714,0.587828,0.182665,3.827818,0.920009,3.533869,1.494452
2001,0.253727,0.587877,0.183632,3.826978,0.917895,3.532534,1.490313
2002,0.253782,0.58799,0.184887,3.822782,0.915672,3.532172,1.482697
2003,0.253864,0.588218,0.186265,3.817055,0.91355,3.532221,1.473949
2004,0.253943,0.588534,0.187741,3.811635,0.911474,3.532197,1.466238
2005,0.25396,0.588873,0.189126,3.808009,0.909666,3.530434,1.461434
2006,0.254033,0.589322,0.190702,3.805492,0.908198,3.520343,1.458861
2007,0.254239,0.589987,0.192643,3.802539,0.907976,3.499569,1.455841
2008,0.254486,0.59077,0.1948,3.799581,0.90868,3.47521,1.452283
2009,0.254696,0.591622,0.196916,3.796921,0.910655,3.454304,1.448085
2010,0.254797,0.592331,0.198731,3.794097,0.911891,3.444114,1.443476
2011,0.254794,0.59301,0.200379,3.791093,0.91385,3.442548,1.438439
2012,0.254757,0.593757,0.202116,3.787528,0.916861,3.441271,1.432944
2013,0.254687,0.594552,0.203977,3.783535,0.920595,3.440182,1.426957
2014,0.254594,0.595386,0.205833,3.779191,0.924949,3.439698,1.420393
2015,0.254459,0.596222,0.207672,3.774285,0.929892,3.439238,1.413051
2016,0.254282,0.59714,0.209525,3.769698,0.935503,3.439675,1.405176
2017,0.254055,0.598083,0.211304,3.764811,0.941628,3.441087,1.396497
